                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.95985,                0.60423,                 1.3563,                 0.9637,                0.92622,                0.95381,                0.70025,                0.96738,                0.57396,                 1.4498,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0054,                0.62709,                 1.3786,                0.97541,                0.92264,                0.95562,                0.74713,                0.83429,                0.54207,                 1.3969,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0356,                0.60532,                 1.3674,                0.98467,                 0.9186,                0.95728,                0.73574,                0.89384,                0.54614,                 1.4238,               0.000614,               0.000614,               0.000614
                     72,                0.97552,                0.59444,                   1.37,                0.96392,                0.93195,                0.95783,                0.75542,                 0.8453,                0.52776,                 1.3953,              0.0005942,              0.0005942,              0.0005942
                     73,                0.99362,                0.57797,                 1.3286,                0.94799,                0.92442,                 0.9553,                0.74437,                0.86404,                0.54473,                 1.4041,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0043,                0.62209,                 1.3685,                0.96907,                0.92442,                0.96329,                0.63806,                 1.0373,                0.61656,                 1.5286,              0.0005546,              0.0005546,              0.0005546
                     75,                   1.04,                0.60909,                 1.3753,                0.95377,                0.95349,                0.96708,                0.74592,                0.86973,                0.55099,                 1.4021,              0.0005348,              0.0005348,              0.0005348
                     76,                  1.119,                0.64448,                 1.4098,                0.93741,                0.95792,                0.96451,                0.71393,                0.92846,                0.55941,                 1.4208,               0.000515,               0.000515,               0.000515
                     77,                  1.008,                0.59846,                 1.3443,                0.94454,                0.89121,                 0.9396,                0.65063,                   1.02,                0.75139,                  1.504,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0036,                0.58358,                 1.3433,                 0.9698,                0.93337,                0.95906,                0.72072,                0.94665,                0.54419,                 1.4155,              0.0004754,              0.0004754,              0.0004754
                     79,                0.96772,                 0.5834,                 1.2979,                0.98121,                0.91087,                0.96479,                0.73985,                0.85277,                0.52323,                 1.3749,              0.0004556,              0.0004556,              0.0004556
